Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
12.5390625,1.35756323001673e-09,1.51317156983863e-07,1.20003896803607e-06,2.45924013510595e-06,1.69248000193823e-06,1.88962225900349e-06,2.11808934548958e-07,3.06053204551207e-10
12.65625,1.5499528548376e-09,1.40894509263679e-07,8.01535947982921e-07,2.42090632902123e-06,1.73952356969319e-06,2.22210798002098e-06,2.15937748961456e-07,1.77002608851037e-10
12.7734375,1.68202621949912e-09,1.5947923212784e-07,1.1059039971441e-06,2.51192757278235e-06,2.02360311829965e-06,2.59469452239431e-06,1.74620708399562e-07,1.60207764629518e-10
12.890625,1.73237561701938e-09,2.13286160531063e-07,1.57278635590486e-06,2.95389998053227e-06,2.0794547836392e-06,2.61961080634619e-06,1.63711943386817e-07,2.21849968069301e-10
13.0078125,1.75179084112374e-09,3.07718931197044e-07,1.81065595952189e-06,3.21572641946595e-06,1.90106397030535e-06,2.51076873056542e-06,2.17951835170251e-07,2.75826922916838e-10
13.125,1.90546820093075e-09,4.27804232408181e-07,1.83392992175233e-06,3.06070921695322e-06,2.06425603998269e-06,2.5902391954357e-06,2.90473964412507e-07,3.19182781270798e-10
13.2421875,2.41320111427809e-09,5.16034888801222e-07,1.57676422012878e-06,2.55423216957101e-06,2.62539913670519e-06,2.74321496428559e-06,3.33442609080512e-07,3.67303919880827e-10
13.359375,3.26589108907598e-09,5.17323774341156e-07,1.16286685495838e-06,1.90450933513131e-06,2.91980409348961e-06,2.47972273517952e-06,3.56532789225748e-07,4.30454731567658e-10
13.4765625,4.11222708675757e-09,4.482708068673e-07,1.11396128856121e-06,1.39852213613547e-06,2.62228523315286e-06,1.71239350919701e-06,3.8635313730653e-07,5.33651881608676e-10
13.59375,4.65640248207562e-09,3.56952901447296e-07,1.43715036402153e-06,1.09321856104e-06,2.27944658148362e-06,1.05898468507623e-06,4.29460996514225e-07,6.02472106834209e-10
13.7109375,4.98992141670059e-09,2.73409308650547e-07,1.53202540465468e-06,1.05757672869078e-06,2.44407345572553e-06,8.66735152150065e-07,4.95044486639894e-07,5.11716686905369e-10
13.828125,5.2201321267513e-09,2.24647435274081e-07,1.18554811403528e-06,1.35578831874674e-06,2.90769400165031e-06,9.28497253542476e-07,5.84545881271343e-07,3.18050829795601e-10
13.9453125,5.15601696066579e-09,2.1084187846686e-07,8.09193750109474e-07,1.63664361764755e-06,3.0793902113186e-06,1.06575968418951e-06,6.55780903216602e-07,1.86646870008487e-10
14.0625,5.15327091159824e-09,2.00836588243456e-07,8.19147375483708e-07,1.32002898160094e-06,2.65822827484705e-06,1.29141294835634e-06,6.80694972898363e-07,1.585686815422e-10
14.1796875,5.88775465853503e-09,1.82688984651733e-07,1.13759024571454e-06,7.67109435984446e-07,2.19336404118395e-06,1.56562365579338e-06,7.16363303315304e-07,2.02946477511646e-10
14.296875,6.86562448846696e-09,1.61968876054722e-07,1.44637188812784e-06,9.26145915934879e-07,2.30109732003949e-06,1.72444477797546e-06,8.14214385933942e-07,2.81870064563125e-10
14.4140625,7.49362806607238e-09,1.47933478885154e-07,1.51014104923337e-06,1.51434681363623e-06,2.69198202228155e-06,1.80145810844215e-06,9.08966465618763e-07,3.57792313177313e-10
14.53125,7.99870191103203e-09,1.56256550950347e-07,1.12144408101311e-06,2.05878697980148e-06,3.15907500027054e-06,1.9486524911679e-06,8.94402377919292e-07,4.65629969019424e-10
14.6484375,7.90291326499906e-09,1.88923073809673e-07,1.00511825033253e-06,3.14145495688876e-06,4.38699906572012e-06,2.4304153567826e-06,7.90139871019906e-07,5.86511828501154e-10
14.765625,6.86477972413115e-09,2.36680934176518e-07,3.14705371618213e-06,6.28752689488431e-06,8.04055083973497e-06,4.20105230648823e-06,7.55759286838398e-07,5.76818505961353e-10
14.8828125,5.94093865144903e-09,2.85002849950607e-07,7.4858154787401e-06,1.192698910604e-05,1.41316173625897e-05,7.39506728511332e-06,8.54962514960837e-07,4.19730884166218e-10
15,2.84976728486062e-09,1.53288873359486e-07,4.9493760038832e-06,7.60461431796925e-06,8.75385848189825e-06,4.60015379040511e-06,4.6457380132027e-07,1.6054455106004e-10
