Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
12.65625,5.06172776183761e-09,5.50481216118893e-08,1.93487515051379e-07,3.1208937832786e-07,1.6446948332098e-07,9.98191066195803e-08,4.55963804349883e-08,3.15573731038574e-10
12.7734375,4.93979091711475e-09,6.64331662576479e-08,1.96130509044725e-07,2.33599611268779e-07,2.21697642647662e-07,1.01274879216375e-07,5.29912631075977e-08,2.27524062406931e-10
12.890625,4.90403267272255e-09,8.39793517969868e-08,1.78638281377563e-07,2.37118165343017e-07,2.83327648297077e-07,1.53311448728628e-07,4.67124429599751e-08,1.48470621780112e-10
13.0078125,5.41414325941434e-09,9.5056247854618e-08,1.54165006193536e-07,2.85797035992373e-07,3.39244454546869e-07,2.27830090758516e-07,3.12155266900395e-08,1.24707756110391e-10
13.125,6.27242829723997e-09,9.40368547578951e-08,1.42564964449541e-07,3.3452321019366e-07,3.64911636044036e-07,2.79250853411075e-07,2.37267707761906e-08,1.49248200568748e-10
13.2421875,7.2369860607083e-09,8.74111287803344e-08,1.638991543476e-07,3.60850044053952e-07,3.03273746768554e-07,2.75853192223849e-07,3.26277840851502e-08,1.69643331015136e-10
13.359375,7.95471474971972e-09,8.31776445978256e-08,2.0790201831175e-07,3.19573346600603e-07,1.98389944898664e-07,2.3899494485368e-07,4.47822717035233e-08,1.38404968980591e-10
13.4765625,7.89298569080808e-09,8.55520584919127e-08,2.44656456417944e-07,2.24889942692432e-07,1.44710154288989e-07,2.07591909555697e-07,4.62177380702556e-08,8.76120273845132e-11
13.59375,7.31770799132725e-09,9.7338470257326e-08,2.5813842299271e-07,2.06351571103523e-07,1.21406448620002e-07,1.76771898193488e-07,4.08580856543039e-08,7.43969021028014e-11
13.7109375,6.85591781625863e-09,1.14996069214893e-07,2.40899999729694e-07,2.71381258592898e-07,1.19642618995004e-07,1.49384199959298e-07,4.32132424595245e-08,1.01304343795601e-10
